indelsubtype	indeltype_short	type
A|[-T]Rep=4|G	[-T]Rep=4	Del
C|[-T]Rep=4|A	[-T]Rep=4	Del
C|[-T]Rep=4|C	[-T]Rep=4	Del
C|[-T]Rep=4|G	[-T]Rep=4	Del
G|[-T]Rep=4|A	[-T]Rep=4	Del
G|[-T]Rep=4|C	[-T]Rep=4	Del
G|[-T]Rep=4|G	[-T]Rep=4	Del
A|[-T]Rep=5|A	[-T]Rep=5	Del
A|[-T]Rep=5|C	[-T]Rep=5	Del
A|[-T]Rep=5|G	[-T]Rep=5	Del
C|[-T]Rep=5|A	[-T]Rep=5	Del
C|[-T]Rep=5|C	[-T]Rep=5	Del
C|[-T]Rep=5|G	[-T]Rep=5	Del
G|[-T]Rep=5|A	[-T]Rep=5	Del
G|[-T]Rep=5|C	[-T]Rep=5	Del
G|[-T]Rep=5|G	[-T]Rep=5	Del
A|[-T]Rep=6|A	[-T]Rep=6	Del
A|[-T]Rep=6|C	[-T]Rep=6	Del
A|[-T]Rep=6|G	[-T]Rep=6	Del
C|[-T]Rep=6|A	[-T]Rep=6	Del
C|[-T]Rep=6|C	[-T]Rep=6	Del
C|[-T]Rep=6|G	[-T]Rep=6	Del
G|[-T]Rep=6|A	[-T]Rep=6	Del
G|[-T]Rep=6|C	[-T]Rep=6	Del
G|[-T]Rep=6|G	[-T]Rep=6	Del
A|[-T]Rep=7|A	[-T]Rep=7	Del
A|[-T]Rep=7|C	[-T]Rep=7	Del
A|[-T]Rep=7|G	[-T]Rep=7	Del
C|[-T]Rep=7|A	[-T]Rep=7	Del
C|[-T]Rep=7|C	[-T]Rep=7	Del
C|[-T]Rep=7|G	[-T]Rep=7	Del
G|[-T]Rep=7|A	[-T]Rep=7	Del
G|[-T]Rep=7|C	[-T]Rep=7	Del
G|[-T]Rep=7|G	[-T]Rep=7	Del
A|[-T]Rep=8|A	[-T]Rep=8	Del
A|[-T]Rep=8|C	[-T]Rep=8	Del
A|[-T]Rep=8|G	[-T]Rep=8	Del
C|[-T]Rep=8|A	[-T]Rep=8	Del
C|[-T]Rep=8|C	[-T]Rep=8	Del
C|[-T]Rep=8|G	[-T]Rep=8	Del
G|[-T]Rep=8|A	[-T]Rep=8	Del
G|[-T]Rep=8|C	[-T]Rep=8	Del
G|[-T]Rep=8|G	[-T]Rep=8	Del
A|[-T]Rep=9|A	[-T]Rep=9	Del
A|[-T]Rep=9|C	[-T]Rep=9	Del
A|[-T]Rep=9|G	[-T]Rep=9	Del
C|[-T]Rep=9|A	[-T]Rep=9	Del
C|[-T]Rep=9|C	[-T]Rep=9	Del
C|[-T]Rep=9|G	[-T]Rep=9	Del
G|[-T]Rep=9|A	[-T]Rep=9	Del
G|[-T]Rep=9|C	[-T]Rep=9	Del
G|[-T]Rep=9|G	[-T]Rep=9	Del
Complex	Complex	Complex
